=== RUN   TestLLM_StalePhaseImplApprove
    scenario_contract_hardening_test.go:31: --- Recorded events (228 total, 95 agent) ---
    scenario_contract_hardening_test.go:31:   [1] git rev-parse --abbrev-ref HEAD (exit=0)
    scenario_contract_hardening_test.go:31:   [2] mindspec hook session-start (exit=0)
    scenario_contract_hardening_test.go:31:   [3] git config user.name (exit=0)
    scenario_contract_hardening_test.go:31:   [4] git config --get remote.origin.url (exit=1)
    scenario_contract_hardening_test.go:31:   [5] git --no-optional-locks log --oneline -n 5 (exit=0)
    scenario_contract_hardening_test.go:31:   [6] git --no-optional-locks status --short (exit=0)
    scenario_contract_hardening_test.go:31:   [7] git config --get user.email (exit=0)
    scenario_contract_hardening_test.go:31:   [8] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [9] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [10] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [11] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [12] git rev-parse --abbrev-ref --symbolic-full-name @{u} (exit=128)
    scenario_contract_hardening_test.go:31:   [13] git remote (exit=0)
    scenario_contract_hardening_test.go:31:   [14] git remote (exit=0)
    scenario_contract_hardening_test.go:31:   [15] bd prime (exit=0)
    scenario_contract_hardening_test.go:31:   [16] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [17] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [18] git config user.name (exit=0)
    scenario_contract_hardening_test.go:31:   [19] git config --get beads.role (exit=0)
    scenario_contract_hardening_test.go:31:   [20] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [21] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [22] git remote (exit=0)
    scenario_contract_hardening_test.go:31:   [23] bd list --type=epic --status=open,in_progress,closed -n 0 --json (exit=0)
    scenario_contract_hardening_test.go:31:   [24] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [25] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [26] git config user.name (exit=0)
    scenario_contract_hardening_test.go:31:   [27] git config --get beads.role (exit=0)
    scenario_contract_hardening_test.go:31:   [28] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [29] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [30] git remote (exit=0)
    scenario_contract_hardening_test.go:31:   [31] bd list --type=epic --status=open,in_progress,closed -n 0 --json (exit=0)
    scenario_contract_hardening_test.go:31:   [32] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [33] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [34] git config user.name (exit=0)
    scenario_contract_hardening_test.go:31:   [35] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [36] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [37] git remote (exit=0)
    scenario_contract_hardening_test.go:31:   [38] bd show repo-4o8 --json (exit=0)
    scenario_contract_hardening_test.go:31:   [39] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [40] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [41] git config user.name (exit=0)
    scenario_contract_hardening_test.go:31:   [42] git config --get beads.role (exit=0)
    scenario_contract_hardening_test.go:31:   [43] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [44] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [45] git remote (exit=0)
    scenario_contract_hardening_test.go:31:   [46] bd list --parent repo-4o8 --status=open,in_progress,closed -n 0 --json (exit=0)
    scenario_contract_hardening_test.go:31:   [47] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [48] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [49] git config user.name (exit=0)
    scenario_contract_hardening_test.go:31:   [50] git config --get beads.role (exit=0)
    scenario_contract_hardening_test.go:31:   [51] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [52] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [53] git remote (exit=0)
    scenario_contract_hardening_test.go:31:   [54] bd list --type=epic --status=open,in_progress,closed -n 0 --json (exit=0)
    scenario_contract_hardening_test.go:31:   [55] mindspec state show (exit=0)
    scenario_contract_hardening_test.go:31:   [56] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [57] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [58] git config user.name (exit=0)
    scenario_contract_hardening_test.go:31:   [59] git config --get beads.role (exit=0)
    scenario_contract_hardening_test.go:31:   [60] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [61] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [62] git remote (exit=0)
    scenario_contract_hardening_test.go:31:   [63] bd list --type=epic --status=open,in_progress,closed -n 0 --json (exit=0)
    scenario_contract_hardening_test.go:31:   [64] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [65] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [66] git config user.name (exit=0)
    scenario_contract_hardening_test.go:31:   [67] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [68] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [69] git remote (exit=0)
    scenario_contract_hardening_test.go:31:   [70] bd show repo-4o8 --json (exit=0)
    scenario_contract_hardening_test.go:31:   [71] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [72] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [73] git config user.name (exit=0)
    scenario_contract_hardening_test.go:31:   [74] git config --get beads.role (exit=0)
    scenario_contract_hardening_test.go:31:   [75] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [76] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [77] git remote (exit=0)
    scenario_contract_hardening_test.go:31:   [78] bd list --parent repo-4o8 --status=open,in_progress,closed -n 0 --json (exit=0)
    scenario_contract_hardening_test.go:31:   [79] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [80] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [81] git config user.name (exit=0)
    scenario_contract_hardening_test.go:31:   [82] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [83] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [84] git remote (exit=0)
    scenario_contract_hardening_test.go:31:   [85] bd show repo-4o8 --json (exit=0)
    scenario_contract_hardening_test.go:31:   [86] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [87] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [88] git config user.name (exit=0)
    scenario_contract_hardening_test.go:31:   [89] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [90] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [91] git remote (exit=0)
    scenario_contract_hardening_test.go:31:   [92] bd update repo-4o8 --metadata {"mindspec_phase":"review","spec_num":1,"spec_title":"stale"} (exit=0)
    scenario_contract_hardening_test.go:31:   [93] mindspec repair phase 001-stale (exit=0)
    scenario_contract_hardening_test.go:31:   [94] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:31:   [95] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_StalePhaseImplApprove952376793/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:31:   [96] git config user.name (exit=0)
