=== RUN   TestLLM_PrecommitReexportComplete
    scenario_contract_hardening_test.go:39: --- Recorded events (381 total, 150 agent) ---
    scenario_contract_hardening_test.go:39:   [1] git --no-optional-locks log --oneline -n 5 (exit=0)
    scenario_contract_hardening_test.go:39:   [2] git --no-optional-locks status --short (exit=0)
    scenario_contract_hardening_test.go:39:   [3] git rev-parse --abbrev-ref HEAD (exit=0)
    scenario_contract_hardening_test.go:39:   [4] git config --get remote.origin.url (exit=1)
    scenario_contract_hardening_test.go:39:   [5] git rev-parse --abbrev-ref HEAD (exit=0)
    scenario_contract_hardening_test.go:39:   [6] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:39:   [7] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:39:   [8] git config user.name (exit=0)
    scenario_contract_hardening_test.go:39:   [9] git config --get user.email (exit=0)
    scenario_contract_hardening_test.go:39:   [10] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:39:   [11] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:39:   [12] git remote (exit=0)
    scenario_contract_hardening_test.go:39:   [13] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:39:   [14] bd show repo-0wz.1 --json (exit=0)
    scenario_contract_hardening_test.go:39:   [15] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:39:   [16] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:39:   [17] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:39:   [18] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:39:   [19] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:39:   [20] git config user.name (exit=0)
    scenario_contract_hardening_test.go:39:   [21] git rev-parse --abbrev-ref --symbolic-full-name @{u} (exit=128)
    scenario_contract_hardening_test.go:39:   [22] git remote (exit=0)
    scenario_contract_hardening_test.go:39:   [23] git remote (exit=0)
    scenario_contract_hardening_test.go:39:   [24] bd prime (exit=0)
    scenario_contract_hardening_test.go:39:   [25] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:39:   [26] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:39:   [27] git remote (exit=0)
    scenario_contract_hardening_test.go:39:   [28] bd show repo-0wz --json (exit=0)
    scenario_contract_hardening_test.go:39:   [29] git config user.name (exit=0)
    scenario_contract_hardening_test.go:39:   [30] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:39:   [31] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:39:   [32] git config user.name (exit=0)
    scenario_contract_hardening_test.go:39:   [33] git config --get beads.role (exit=0)
    scenario_contract_hardening_test.go:39:   [34] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:39:   [35] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:39:   [36] git remote (exit=0)
    scenario_contract_hardening_test.go:39:   [37] bd list --parent repo-0wz --status=open,in_progress,closed -n 0 --json (exit=0)
    scenario_contract_hardening_test.go:39:   [38] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:39:   [39] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:39:   [40] git config user.name (exit=0)
    scenario_contract_hardening_test.go:39:   [41] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:39:   [42] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:39:   [43] git remote (exit=0)
    scenario_contract_hardening_test.go:39:   [44] bd show repo-0wz.1 --json (exit=0)
    scenario_contract_hardening_test.go:39:   [45] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:39:   [46] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:39:   [47] git config user.name (exit=0)
    scenario_contract_hardening_test.go:39:   [48] git config --get beads.role (exit=0)
    scenario_contract_hardening_test.go:39:   [49] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo/.beads rev-parse --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:39:   [50] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo/.beads rev-parse --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:39:   [51] git remote (exit=0)
    scenario_contract_hardening_test.go:39:   [52] bd list --type=epic --status=open,in_progress,closed -n 0 --json (exit=0)
    scenario_contract_hardening_test.go:39:   [53] mindspec hook session-start (exit=0)
    scenario_contract_hardening_test.go:39:   [54] mindspec status (exit=1)
    scenario_contract_hardening_test.go:39:   [55] mindspec state (exit=0)
    scenario_contract_hardening_test.go:39:   [56] git rev-parse --git-dir --git-common-dir --show-toplevel (exit=0)
    scenario_contract_hardening_test.go:39:   [57] git -C /var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo rev-parse --git-dir --git-common-dir (exit=0)
    scenario_contract_hardening_test.go:39:   [58] git config user.name (exit=0)
    scenario_contract_hardening_test.go:39:   [59] git -C /private/var/folders/cw/tdy8s59d077dyky0b0qk9pxc0000gq/T/TestLLM_PrecommitReexportComplete3284127114/001/repo/.beads rev-parse --git-common-dir (exit=0)
